date,min,max,median,q1,q3,stdev,count
2020-05-13T00:00:00.000Z,0.2,3.77,0.62,0.44,0.82,0.294,465
2020-05-14T00:00:00.000Z,0.42,1.72,0.8,0.69,1,0.22,460
2020-05-15T00:00:00.000Z,0.4,19.78,0.75,0.63,0.88,1.443,536
2020-05-16T00:00:00.000Z,0.2,7.72,0.61,0.53,0.7,0.579,336
2020-05-17T00:00:00.000Z,0.15,1.54,0.5,0.35,0.75,0.266,545
2020-05-18T00:00:00.000Z,0.2,1.12,0.43,0.34,0.61,0.191,466
2020-05-19T00:00:00.000Z,0.3,1.46,0.65,0.55,0.84,0.201,551
2020-05-20T00:00:00.000Z,0.45,2.54,0.77,0.65,1.01,0.265,564
2020-05-21T00:00:00.000Z,0.35,1.95,1.05,0.68,1.34,0.369,521
2020-05-22T00:00:00.000Z,0.82,11.45,1.44,1.25,1.62,0.748,555
2020-05-23T00:00:00.000Z,0.68,6.23,1.55,1.25,2.37,1.184,519
2020-05-24T00:00:00.000Z,1.1,4.97,2.29,1.87,2.83,0.733,547
2020-05-25T00:00:00.000Z,0.7,8.07,1.77,1.4,2.4,0.849,549
2020-05-26T00:00:00.000Z,0.82,3.63,1.45,1.25,2.15,0.66,503
2020-05-27T00:00:00.000Z,0.9,3.5,1.6,1.4,1.83,0.351,483
2020-05-28T00:00:00.000Z,0.28,4.78,0.8,0.55,1.14,0.459,555
2020-05-29T00:00:00.000Z,0.3,1.87,0.7,0.6,0.9,0.308,554
2020-05-30T00:00:00.000Z,0.2,1.75,0.5,0.4,0.7,0.253,571
2020-05-31T00:00:00.000Z,0.2,4.82,0.5,0.4,0.6,0.259,505
2020-06-01T00:00:00.000Z,0.2,1.7,0.8,0.6,1,0.271,496
2020-06-02T00:00:00.000Z,0.6,3.3,1.02,0.9,1.2,0.243,542
2020-06-03T00:00:00.000Z,0.7,8,1.3,1.14,1.61,0.622,461
2020-06-04T00:00:00.000Z,1,4.9,2.17,1.73,2.47,0.51,545
2020-06-05T00:00:00.000Z,1.75,4.8,2.95,2.6,3.33,0.531,446
2020-06-06T00:00:00.000Z,0.3,3.8,0.95,0.64,1.79,0.827,488
2020-06-07T00:00:00.000Z,0.43,2.97,1,0.83,1.23,0.319,550
2020-06-08T00:00:00.000Z,0.6,3.5,1.2,1,1.5,0.357,545
2020-06-09T00:00:00.000Z,0.45,2.33,1.25,1.05,1.6,0.416,499
2020-06-10T00:00:00.000Z,0.2,2.78,0.56,0.5,0.65,0.2,542
2020-06-11T00:00:00.000Z,0.22,1.75,0.62,0.52,0.77,0.172,570
2020-06-12T00:00:00.000Z,0.5,5.68,1.5,1.3,1.7,0.364,577
2020-06-13T00:00:00.000Z,0.7,2.1,1.14,1,1.37,0.246,555
2020-06-14T00:00:00.000Z,0.45,3.58,1.2,1,1.37,0.327,343
2020-06-15T00:00:00.000Z,0.7,4.32,1.25,1.1,1.4,0.325,562
2020-06-16T00:00:00.000Z,0.9,4.25,2.1,1.48,2.75,0.724,572
2020-06-17T00:00:00.000Z,1.4,7.25,2.97,2.33,3.78,1.212,545
2020-06-18T00:00:00.000Z,1.75,4.43,2.7,2.36,3.2,0.521,501
2020-06-19T00:00:00.000Z,1.55,15.1,2.9,2.37,3.4,1.073,491
2020-06-20T00:00:00.000Z,0.95,7.35,3.8,1.87,4.61,1.638,585
2020-06-21T00:00:00.000Z,0.6,3.35,1.4,1.2,1.58,0.308,585
2020-06-22T00:00:00.000Z,0.8,3.85,1.6,1.37,1.8,0.367,558
2020-06-23T00:00:00.000Z,1.08,5.09,1.9,1.7,2.2,0.5,573
2020-06-24T00:00:00.000Z,1.8,20.12,2.9,2.6,3.15,0.845,591
2020-06-25T00:00:00.000Z,1.27,14.15,3.2,2.62,3.53,0.887,575
2020-06-26T00:00:00.000Z,1.62,8.75,2.6,2.35,3,0.679,562
2020-06-27T00:00:00.000Z,2.25,11.18,3.25,2.92,4.43,1.064,523
2020-06-28T00:00:00.000Z,2.9,9.5,4.15,3.83,4.59,1.365,444
2020-06-29T00:00:00.000Z,0.7,8.57,1.75,1.35,3.12,1.807,482
2020-06-30T00:00:00.000Z,0.4,2.62,1.25,1,1.55,0.427,475
2020-07-01T00:00:00.000Z,0.4,18.95,1,0.8,1.2,0.911,458
2020-07-02T00:00:00.000Z,0.32,2.65,1.05,0.88,1.2,0.302,452
